=== RESULTS FOR FILE: 1-I.mid===
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,30738.440,30702.800,35.640,0.12%
total_time,204.000,204.000,0.000,0.00%
time_dose,164.570,164.600,0.030,0.02%
rest_time,39.430,39.400,0.030,0.07%
min_freq,73.420,73.400,0.020,0.03%
first_quartile,130.810,116.500,14.310,10.94%
median_freq,196.000,185.000,11.000,5.61%
third_quartile,220.000,220.000,0.000,0.00%
max_freq,329.630,329.600,0.030,0.01%
lvhp_percent,0.000,0.000,0.000,0.00%
lvmp_percent,15.560,15.500,0.060,0.38%
lvlp_percent,35.960,35.900,0.060,0.16%
mvhp_percent,0.000,0.000,0.000,0.00%
mvmp_percent,12.960,12.900,0.060,0.43%
mvlp_percent,34.070,34.000,0.070,0.21%
hvhp_percent,0.000,0.000,0.000,0.00%
hvmp_percent,0.410,0.300,0.110,27.24%
hvlp_percent,21.220,21.300,0.080,0.36%
""
=== RESULTS FOR FILE: 2-II.mid===
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,29421.080,29417.600,3.480,0.01%
total_time,193.670,192.800,0.870,0.45%
time_dose,139.020,139.200,0.180,0.13%
rest_time,54.650,53.600,1.050,1.93%
min_freq,103.830,103.800,0.030,0.03%
first_quartile,185.000,185.000,0.000,0.00%
median_freq,220.000,220.000,0.000,0.00%
third_quartile,220.000,220.000,0.000,0.00%
max_freq,329.630,329.600,0.030,0.01%
lvhp_percent,0.000,0.000,0.000,0.00%
lvmp_percent,15.090,15.100,0.010,0.06%
lvlp_percent,55.560,55.300,0.260,0.47%
mvhp_percent,0.000,0.000,0.000,0.00%
mvmp_percent,11.980,12.000,0.020,0.18%
mvlp_percent,45.850,45.600,0.250,0.55%
hvhp_percent,0.000,0.000,0.000,0.00%
hvmp_percent,1.880,1.900,0.020,1.25%
hvlp_percent,19.540,19.700,0.160,0.83%
""
=== RESULTS FOR FILE: 3-III.mid===
Metric,Expected,Observed,Difference,Percent Error
cycle_dose,29096.960,29070.100,26.860,0.09%
total_time,192.650,191.700,0.950,0.49%
time_dose,139.920,139.800,0.120,0.09%
rest_time,52.720,51.900,0.820,1.56%
min_freq,130.810,130.800,0.010,0.01%
first_quartile,174.610,174.600,0.010,0.01%
median_freq,196.000,220.000,24.000,12.24%
third_quartile,233.080,233.100,0.020,0.01%
max_freq,349.230,349.200,0.030,0.01%
lvhp_percent,0.000,0.000,0.000,0.00%
lvmp_percent,14.040,14.100,0.060,0.43%
lvlp_percent,54.230,54.300,0.070,0.12%
mvhp_percent,0.000,0.000,0.000,0.00%
mvmp_percent,3.520,3.500,0.020,0.56%
mvlp_percent,45.860,45.900,0.040,0.10%
